country,wave,idno,adm2_name,chirps_month,source_file,source_sha256,mask_pixel_count,valid_pixel_count,mean_precip_mm,min_precip_mm,max_precip_mm,extraction_status
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhotakota,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,147,147,97.845718,24.194439,171.435318,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nsanje,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,66,66,19.233271,7.702493,40.305519,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntcheu,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,110,110,13.746925,3.986006,34.798618,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Ntchisi,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,58,58,46.352512,18.305588,100.983795,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Phalombe,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,49,49,23.770481,8.090162,55.633476,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Rumphi,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,155,155,108.132584,2.484465,270.341125,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Salima,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,71,71,29.028561,5.624146,89.667877,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Thyolo,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,57,57,26.626759,17.018373,37.712742,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Zomba,2003-04,chirps-v2.0.2003.04.tif.gz,1216dd8e1a9360c2b42bb20b01400227795bd9e526997ebfc16529009bdab0e8,106,106,20.462427,6.009059,47.288498,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Balaka,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,73,73,9.051614,4.814990,13.235198,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Blantyre,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,65,65,6.933878,1.078480,19.060320,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chikwawa,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,168,168,16.583517,7.403789,43.092850,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chiradzulu,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,26,26,11.566515,3.796315,19.910797,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Chitipa,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,139,139,23.169365,2.640901,62.844147,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dedza,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,128,128,5.582999,1.500689,14.458848,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Dowa,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,101,101,4.140991,0.791682,8.823515,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Karonga,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,109,109,28.509825,9.051324,70.770271,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Kasungu,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,266,266,7.572137,1.625935,14.354458,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Likoma,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,1,1,5.686375,5.686375,5.686375,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Lilongwe,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,209,209,4.379145,1.673506,8.218271,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Machinga,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,129,129,9.208681,1.338675,19.145439,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mangochi,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,224,224,5.874492,0.347758,15.613738,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mchinji,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,104,104,4.825126,1.881512,8.128981,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mulanje,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,65,65,28.468908,5.067134,53.786430,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mwanza,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,24,24,16.212463,11.786285,20.896744,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Mzimba,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,357,357,13.915686,3.072043,40.131996,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Neno,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,55,55,14.240683,4.143199,26.671494,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhata Bay,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,134,134,33.902760,12.829347,114.309113,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nkhotakota,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,147,147,13.462178,3.408579,31.088787,pass
Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Nsanje,2003-05,chirps-v2.0.2003.05.tif.gz,ecb35cb8065bdeea27d015e2d858e7e4c0e050d09649af0fd6788c94fee83721,66,66,18.356745,3.699614,37.976669,pass
