sample,period,bin_left,bin_mid,person_months,persons,uninsured,market_or_subsidy,source_employer_related,direct_purchase
lag_current_employer,post_2021_2023,4.349999904632568,4.375,2111,1015,0.0026904492799460483,0.021809864032734366,0.9935176853907601,0.021809864032734366
lag_current_employer,post_2021_2023,4.400000095367432,4.425000190734863,1976,943,0.003539632021298334,0.014006138483912689,0.9944313826156853,0.014006138483912689
lag_current_employer,post_2021_2023,4.449999809265137,4.474999904632568,1781,929,0.000556830745101781,0.023433173771948573,0.9931992212984484,0.023433173771948573
lag_current_employer,post_2021_2023,4.5,4.525000095367432,2015,998,0.000244507471822002,0.011272950664110843,0.9977286200043767,0.011272950664110843
lag_current_employer,post_2021_2023,4.550000190734863,4.575000286102295,2149,1009,0.0027701274292202052,0.022379993222924187,0.9954702761493587,0.022379993222924187
lag_current_employer,post_2021_2023,4.599999904632568,4.625,1972,988,0.00599507119239926,0.02246227355193625,0.9920041370043817,0.02246227355193625
lag_current_employer,post_2021_2023,4.650000095367432,4.675000190734863,2160,1035,0.002047944121308232,0.01101087278310659,0.995507383618751,0.01101087278310659
lag_current_employer,post_2021_2023,4.699999809265137,4.724999904632568,2065,977,0.0016168092557675112,0.00809548559156968,0.9954814980779239,0.00809548559156968
lag_current_employer,post_2021_2023,4.75,4.775000095367432,1936,966,0.004825582500809042,0.007659850783984615,0.9928739730830012,0.007659850783984615
lag_current_employer,post_2021_2023,4.800000190734863,4.825000286102295,1870,986,0.0024957938901816316,0.012612576911873103,0.9941137191735622,0.01236829541999342
lag_current_employer,post_2021_2023,4.849999904632568,4.875,2012,968,0.0008180095377372485,0.010429060396225284,0.9953376830644496,0.010429060396225284
lag_current_employer,post_2021_2023,4.900000095367432,4.925000190734863,1949,971,0.0009606522677674201,0.005423290864219498,0.9977714468656882,0.00534342560883096
lag_current_employer,post_2021_2023,4.949999809265137,4.974999904632568,1896,1022,0.0031001295993671567,0.0104996068627183,0.9921615445332614,0.010099398266074186
lag_current_employer,pre_2017_2020,3.0,3.0250000953674316,4563,1322,0.005330076640112325,0.025180602730921698,0.9900107325659813,0.024848738466191032
lag_current_employer,pre_2017_2020,3.049999952316284,3.075000047683716,4256,1263,0.005415849044529312,0.026680830056318244,0.9929860886050784,0.024494554721857915
lag_current_employer,pre_2017_2020,3.0999999046325684,3.125,4377,1243,0.0022229898705685204,0.018485941994123057,0.9958051051470657,0.018485941994123057
lag_current_employer,pre_2017_2020,3.1500000953674316,3.1750001907348633,4501,1232,0.0029255737404524943,0.015859737292304728,0.991989060216171,0.015859737292304728
lag_current_employer,pre_2017_2020,3.200000047683716,3.2250001430511475,4323,1214,0.0029074390196081215,0.011914313992049726,0.9947458371884284,0.011914313992049726
lag_current_employer,pre_2017_2020,3.25,3.2750000953674316,4340,1305,0.0032679773368467445,0.014681164132624073,0.9939150304901553,0.014681164132624073
lag_current_employer,pre_2017_2020,3.299999952316284,3.325000047683716,4429,1314,0.0016337463943493916,0.013981512325624387,0.9945461784510835,0.013981512325624387
lag_current_employer,pre_2017_2020,3.3499999046325684,3.375,4295,1312,0.003669447853042046,0.013452027632202209,0.9933673300250431,0.013452027632202209
lag_current_employer,pre_2017_2020,3.4000000953674316,3.4250001907348633,4231,1265,0.0025501825754752705,0.01701142592351391,0.9934084485855552,0.016863263889874906
