model,fpl_col,post_col,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,weighted_mean
main_age26_64,monthly_fpl,post_year2021,marketplace_flag,0.016541442208516832,0.006137820898657862,2.695002425393986,0.012340221816157158,1.3404493415879268,0.01073357223827961,1.5410938540595422,215972,23888,23858,52,0.07749932256719387
main_age26_64,monthly_fpl,post_year2021,subsidized_private,-0.0032663153449511984,0.004356120441453967,-0.7498220925822202,0.008810397856476653,-0.3707341482371403,0.006920398778283397,-0.4719836890326437,215972,23888,23858,52,0.03673806245901059
main_age26_64,monthly_fpl,post_year2021,market_or_subsidy,0.020199135123747824,0.006829854847249441,2.9574764874955632,0.013733328386985818,1.4708113397251341,0.014711798822269114,1.3729888076754135,215972,23888,23858,52,0.10412533397703758
main_age26_64,monthly_fpl,post_year2021,public,0.005656071293087983,0.006466561927671467,0.8746643666837453,0.013205626583233813,0.4283076806267617,0.015468693321230421,0.36564635264474193,215972,23888,23858,52,0.08885520564169368
main_age26_64,monthly_fpl,post_year2021,medicaid,0.009459217021061228,0.006067803257243953,1.5589195331553456,0.012344133084698504,0.7662925339638998,0.014233100086523492,0.6645928830373096,215972,23888,23858,52,0.0735434432479669
main_age26_64_annual_fpl,annual_fpl,post_year2021,uninsured,-0.04242393630843877,0.00722293630971316,-5.873502754189941,0.02237089177429431,-1.8963900382901493,0.0322627771839601,-1.3149499209736488,165940,14011,13990,52,0.09524204637981178
main_age26_64_annual_fpl,annual_fpl,post_year2021,source_employer_related,0.024300200450128706,0.01010918180603987,2.40377519332081,0.032706976816238895,0.7429668778822671,0.03212440925207437,0.7564403833685929,165940,14011,13990,52,0.6759932710746077
main_age26_64_annual_fpl,annual_fpl,post_year2021,source_bought_direct,0.006653010619786959,0.005607803169966759,1.1863844750147312,0.01827575671111332,0.36403475516509387,0.021791534802508797,0.3053025259616416,165940,14011,13990,52,0.0607082040883152
main_age26_64_annual_fpl,annual_fpl,post_year2021,direct_purchase,-0.012926949452501724,0.007178441431067798,-1.800801688867277,0.02338846752637461,-0.5527061333934904,0.026646603936109643,-0.4851255898686591,165940,14011,13990,52,0.09821708898561395
main_age26_64_annual_fpl,annual_fpl,post_year2021,market_or_subsidy,-0.012898897066318082,0.007182566543296265,-1.7958618257922112,0.023408783620024482,-0.5510280788483187,0.02663132294104055,-0.48435059327976787,165940,14011,13990,52,0.09889165187840447
main_age26_64_post_apr2021,monthly_fpl,post_apr2021,uninsured,-0.03176463354211223,0.007227900884257751,-4.394724561220129,0.014621168169039161,-2.1725099646535058,0.01660405525551903,-1.9130647937077883,215972,23888,23858,52,0.10036807959121216
main_age26_64_post_apr2021,monthly_fpl,post_apr2021,source_employer_related,0.02910732446126385,0.009625467901668296,3.023990600625133,0.019582063826739864,1.4864278208263713,0.026441891321237657,1.100803422404409,215972,23888,23858,52,0.6654786059698066
main_age26_64_post_apr2021,monthly_fpl,post_apr2021,source_bought_direct,0.007384984092523861,0.005520218356739499,1.3378065169302071,0.011170234736767771,0.6611306088506415,0.012458587877039596,0.5927625317901339,215972,23888,23858,52,0.06260708188522422
main_age26_64_post_apr2021,monthly_fpl,post_apr2021,direct_purchase,0.026295971103132643,0.007023722797722496,3.7438794013424537,0.01414332675714307,1.8592493516316375,0.017090031096101865,1.538673098677427,215972,23888,23858,52,0.10332075015196993
main_age26_64_post_apr2021,monthly_fpl,post_apr2021,market_or_subsidy,0.025574696216975834,0.007045627175821794,3.6298679420250233,0.01418383270788582,1.8030878355437039,0.01737752358070017,1.4717112077683847,215972,23888,23858,52,0.10412533397703758
older_age50_64,monthly_fpl,post_year2021,uninsured,-0.007957699414034902,0.009929207700546155,-0.8014435445435582,0.020188576204695427,-0.3941684313618963,0.01911727816073312,-0.41625692460655894,83704,9391,9380,52,0.08224604267093587
older_age50_64,monthly_fpl,post_year2021,any_coverage,0.007957699415269914,0.009929207700545775,0.8014435446679705,0.020188576204694556,0.3941684314230871,0.01911727816076833,0.41625692467039416,83704,9391,9380,52,0.9177539573290642
older_age50_64,monthly_fpl,post_year2021,private,0.009513312235421623,0.01199960332829425,0.7928022264694266,0.024400147654641057,0.38988748634117926,0.024134413856164754,0.39418037214902557,83704,9391,9380,52,0.8631779799748153
older_age50_64,monthly_fpl,post_year2021,rpritype1_employer,0.014060466511907066,0.013888254196000432,1.0123998533923888,0.028775535889867993,0.48862570503362285,0.03300103156342244,0.4260614243189705,83704,9391,9380,52,0.6785909602304336
older_age50_64,monthly_fpl,post_year2021,source_employer_related,0.026705257520638348,0.014281778266502124,1.8698832191839487,0.02930161647040909,0.9113919550345376,0.03559032248817182,0.7503516589239572,83704,9391,9380,52,0.663711197493554
older_age50_64,monthly_fpl,post_year2021,source_current_employer,0.028264856708166697,0.015414958373062799,1.8335992886986143,0.03155715918860127,0.8956717725838965,0.03221304840682708,0.8774350179840905,83704,9391,9380,52,0.5912546195426426
older_age50_64,monthly_fpl,post_year2021,source_former_employer,0.008672365268530047,0.008320409145467417,1.042300338470057,0.0164138465611362,0.5283566674166429,0.020579610564747608,0.4214057035357902,83704,9391,9380,52,0.05935068412210873
older_age50_64,monthly_fpl,post_year2021,source_union,-0.008888582990666277,0.003161311833337383,-2.811675487666979,0.006552762501690346,-1.3564634745076425,0.006208898807352513,-1.4315876722198324,83704,9391,9380,52,0.014997976167652749
older_age50_64,monthly_fpl,post_year2021,source_bought_direct,0.011258123874064552,0.009855546592171917,1.1423134951243268,0.020647223065725098,0.5452609214433933,0.023165964521764476,0.4859769108032398,83704,9391,9380,52,0.08415683269617706
