model,excluded_treated_state,excluded_treated_state_name,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
sbm_138_600_leave_one,23,Maine,exchange_subsidy,sbm_active,-0.016147799850642137,0.010881694863065837,-1.4839416151476807,62409,37867,37,0.08191419072550726
sbm_138_600_leave_one,23,Maine,exchange_subsidy,sbm_active_x_subsidy_income,0.01307914631930198,0.015052382155719673,0.8689087337801948,62409,37867,37,0.08191419072550726
sbm_138_600_leave_one,34,New Jersey,uninsured,sbm_active,0.03863028465992725,0.013926788948648378,2.7738113072846127,61296,37148,37,0.1433480796790361
sbm_138_600_leave_one,34,New Jersey,uninsured,sbm_active_x_subsidy_income,-0.041464024619792955,0.01756234111500513,-2.360962262848113,61296,37148,37,0.1433480796790361
sbm_138_600_leave_one,34,New Jersey,any_coverage,sbm_active,-0.038630284659811664,0.013926788948648733,-2.773811307276242,61296,37148,37,0.8566519203209639
sbm_138_600_leave_one,34,New Jersey,any_coverage,sbm_active_x_subsidy_income,0.04146402461975407,0.0175623411150051,2.360962262845902,61296,37148,37,0.8566519203209639
sbm_138_600_leave_one,34,New Jersey,direct_market,sbm_active,-0.029489930066989148,0.012144752324582871,-2.4282034971842887,61296,37148,37,0.10743968494574364
sbm_138_600_leave_one,34,New Jersey,direct_market,sbm_active_x_subsidy_income,0.012656358380107067,0.01637397630683166,0.7729557037911736,61296,37148,37,0.10743968494574364
sbm_138_600_leave_one,34,New Jersey,exchange_subsidy,sbm_active,-0.02662184434086371,0.009880911107398846,-2.6942701995293956,61296,37148,37,0.08097034962812205
sbm_138_600_leave_one,34,New Jersey,exchange_subsidy,sbm_active_x_subsidy_income,0.016086563933838435,0.014355266834628667,1.1206036167181113,61296,37148,37,0.08097034962812205
sbm_138_600_leave_one,35,New Mexico,uninsured,sbm_active,0.03211335595178819,0.012250428389333223,2.621406772986825,62075,37665,37,0.14182207705632247
sbm_138_600_leave_one,35,New Mexico,uninsured,sbm_active_x_subsidy_income,-0.04583747499918641,0.01490055707727656,-3.076225590859877,62075,37665,37,0.14182207705632247
sbm_138_600_leave_one,35,New Mexico,any_coverage,sbm_active,-0.03211335595169751,0.012250428389333577,-2.6214067729793467,62075,37665,37,0.8581779229436777
sbm_138_600_leave_one,35,New Mexico,any_coverage,sbm_active_x_subsidy_income,0.04583747499901758,0.014900557077276739,3.0762255908485097,62075,37665,37,0.8581779229436777
sbm_138_600_leave_one,35,New Mexico,direct_market,sbm_active,-0.026773378297063194,0.012602620617275897,-2.124429442901881,62075,37665,37,0.10843641401293784
sbm_138_600_leave_one,35,New Mexico,direct_market,sbm_active_x_subsidy_income,0.026102303927275076,0.016905184680454245,1.5440413352865958,62075,37665,37,0.10843641401293784
sbm_138_600_leave_one,35,New Mexico,exchange_subsidy,sbm_active,-0.017069226517551134,0.010952488488160238,-1.5584792931764464,62075,37665,37,0.08162988566139721
sbm_138_600_leave_one,35,New Mexico,exchange_subsidy,sbm_active_x_subsidy_income,0.01800034119738861,0.01532820295535024,1.1743282138044544,62075,37665,37,0.08162988566139721
sbm_138_600_leave_one,42,Pennsylvania,uninsured,sbm_active,0.019318334177107863,0.015507028705777116,1.2457792233215415,59467,36147,37,0.1451335102933723
sbm_138_600_leave_one,42,Pennsylvania,uninsured,sbm_active_x_subsidy_income,-0.03786815060007793,0.019982126523807202,-1.8951011322524094,59467,36147,37,0.1451335102933723
sbm_138_600_leave_one,42,Pennsylvania,any_coverage,sbm_active,-0.019318334176108287,0.015507028705776704,-1.245779223257115,59467,36147,37,0.8548664897066276
sbm_138_600_leave_one,42,Pennsylvania,any_coverage,sbm_active_x_subsidy_income,0.037868150599179695,0.019982126523807178,1.8951011322074598,59467,36147,37,0.8548664897066276
sbm_138_600_leave_one,42,Pennsylvania,direct_market,sbm_active,-0.03267508618578027,0.01884231476475583,-1.7341333373168333,59467,36147,37,0.11003058206654857
sbm_138_600_leave_one,42,Pennsylvania,direct_market,sbm_active_x_subsidy_income,0.0531759120421156,0.026103085440474863,2.0371504419804034,59467,36147,37,0.11003058206654857
sbm_138_600_leave_one,42,Pennsylvania,exchange_subsidy,sbm_active,-0.017322185757092892,0.017048144254384025,-1.0160745649860627,59467,36147,37,0.08330931863640213
sbm_138_600_leave_one,42,Pennsylvania,exchange_subsidy,sbm_active_x_subsidy_income,0.03760062088982791,0.02443104238699399,1.5390510275502949,59467,36147,37,0.08330931863640213
