sensitivity,outcome,cluster,coef,se_hc1,t_hc1,se_cluster,t_cluster,n,clusters
nondisabled,subsidized_private,person_id,0.07069132221673634,0.015340544153156124,4.608136550501208,0.038037805958667695,1.8584489939706386,37031,6562
nondisabled,market_or_subsidy,state_fips,0.05454053739307799,0.028060392114062964,1.9436840786606124,0.0762592912953536,0.7151985871707293,37031,47
nondisabled,market_or_subsidy,person_id,0.05454053739307799,0.028060392114062964,1.9436840786606124,0.06607492699581602,0.825434697741423,37031,6562
nondisabled,private,state_fips,-0.006086498894712125,0.029442438507774404,-0.20672536662019209,0.05117577105459103,-0.11893321330165087,37031,47
nondisabled,private,person_id,-0.006086498894712125,0.029442438507774404,-0.20672536662019209,0.06982576202108783,-0.08716695269109936,37031,6562
nondisabled,public,state_fips,0.02718843928141454,0.007117583906722129,3.819897262572022,0.016778698624310452,1.6204140672758458,37031,47
nondisabled,public,person_id,0.02718843928141454,0.007117583906722129,3.819897262572022,0.01716650452441999,1.5838075388462443,37031,6562
nondisabled,medicaid,state_fips,6.887303227731678e-13,1.1820644366280326e-14,58.26504050302418,2.7647229876180503e-13,2.491136818616841,37031,47
nondisabled,medicaid,person_id,6.887303227731678e-13,1.1820644366280326e-14,58.26504050302418,2.7725154900151853e-14,24.841351662543662,37031,6562
nondisabled,oop_any,state_fips,0.06719053005644976,0.03394147216180363,1.979599757374793,0.10216185112527838,0.657687084918379,37031,47
nondisabled,oop_any,person_id,0.06719053005644976,0.03394147216180363,1.979599757374793,0.08212993940308107,0.8181003242519029,37031,6562
nondisabled,doctor_any,state_fips,-0.08057334467490186,0.032851409587384896,-2.4526601959217733,0.06694530087226803,-1.203569834253732,37031,47
nondisabled,doctor_any,person_id,-0.08057334467490186,0.032851409587384896,-2.4526601959217733,0.07948301522327743,-1.0137177666016013,37031,6562
no_medicaid,uninsured,state_fips,-0.01968501425528013,0.0347346035257197,-0.5667263264054274,0.05478435793120865,-0.35931815209002016,34128,47
no_medicaid,uninsured,person_id,-0.01968501425528013,0.0347346035257197,-0.5667263264054274,0.08168157548678798,-0.2409969951970893,34128,6086
no_medicaid,any_coverage,state_fips,0.019685014256331474,0.03473460352572093,0.5667263264356752,0.05478435793127673,0.3593181521087642,34128,47
no_medicaid,any_coverage,person_id,0.019685014256331474,0.03473460352572093,0.5667263264356752,0.08168157548679252,0.24099699520994716,34128,6086
no_medicaid,direct_purchase,state_fips,0.09044670121475154,0.027143427960830878,3.33217681072818,0.06047529973733888,1.495597402701381,34128,47
no_medicaid,direct_purchase,person_id,0.09044670121475154,0.027143427960830878,3.33217681072818,0.06313182377530596,1.4326641589931353,34128,6086
no_medicaid,marketplace_flag,state_fips,0.09468870084333683,0.02032076484393394,4.659701619036395,0.04903951205791927,1.9308654770362013,34128,47
no_medicaid,marketplace_flag,person_id,0.09468870084333683,0.02032076484393394,4.659701619036395,0.049135870272092305,1.9270789408835842,34128,6086
no_medicaid,subsidized_private,state_fips,0.05374781861883992,0.01690697468534716,3.179032299931328,0.05218561392928361,1.0299355429960688,34128,47
no_medicaid,subsidized_private,person_id,0.05374781861883992,0.01690697468534716,3.179032299931328,0.04139313020768694,1.2984719529343216,34128,6086
no_medicaid,market_or_subsidy,state_fips,0.09044670121475154,0.027143427960830878,3.33217681072818,0.06047529973733888,1.495597402701381,34128,47
no_medicaid,market_or_subsidy,person_id,0.09044670121475154,0.027143427960830878,3.33217681072818,0.06313182377530596,1.4326641589931353,34128,6086
no_medicaid,private,state_fips,0.02196526056061894,0.035590629649539234,0.6171641462067617,0.05856436930601492,0.37506184768838574,34128,47
no_medicaid,private,person_id,0.02196526056061894,0.035590629649539234,0.6171641462067617,0.08438844796634444,0.2602875285652731,34128,6086
no_medicaid,public,state_fips,0.00484734144356228,0.011854887047365849,0.4088897198425317,0.0372109143283181,0.13026665780887237,34128,47
no_medicaid,public,person_id,0.00484734144356228,0.011854887047365849,0.4088897198425317,0.029417626336151314,0.16477676982406234,34128,6086
no_medicaid,medicaid,state_fips,0.0,0.0,,0.0,,34128,47
no_medicaid,medicaid,person_id,0.0,0.0,,0.0,,34128,6086
no_medicaid,oop_any,state_fips,0.0033133427952803333,0.04104077750140141,0.08073294408633447,0.09503641664283542,0.034863928084878176,34128,47
no_medicaid,oop_any,person_id,0.0033133427952803333,0.04104077750140141,0.08073294408633447,0.09987845342668955,0.03317374950856959,34128,6086
no_medicaid,doctor_any,state_fips,-0.13182396923785655,0.03660374910431928,-3.601378887779044,0.08146595608484697,-1.6181479426886196,34128,47
no_medicaid,doctor_any,person_id,-0.13182396923785655,0.03660374910431928,-3.601378887779044,0.08752872887712534,-1.506065162021418,34128,6086
broad_no_medicaid,uninsured,state_fips,0.03631015658971998,0.022394546325149353,1.6213838879577223,0.06935330387937005,0.5235533789835909,49823,47
broad_no_medicaid,uninsured,person_id,0.03631015658971998,0.022394546325149353,1.6213838879577223,0.05544285148254329,0.6549114199357617,49823,8104
broad_no_medicaid,any_coverage,state_fips,-0.03631015658972581,0.022394546325149454,-1.6213838879579754,0.06935330387935568,-0.5235533789837836,49823,47
broad_no_medicaid,any_coverage,person_id,-0.03631015658972581,0.022394546325149454,-1.6213838879579754,0.05544285148254389,-0.6549114199358599,49823,8104
broad_no_medicaid,direct_purchase,state_fips,0.03280739782621497,0.017875197548831184,1.8353586155673098,0.055496644503431225,0.5911600263361251,49823,47
broad_no_medicaid,direct_purchase,person_id,0.03280739782621497,0.017875197548831184,1.8353586155673098,0.042803088814518844,0.7664726713621349,49823,8104
broad_no_medicaid,marketplace_flag,state_fips,-0.00850383297773488,0.015183681901648262,-0.5600639576631112,0.03989468383875266,-0.21315704649035164,49823,47
broad_no_medicaid,marketplace_flag,person_id,-0.00850383297773488,0.015183681901648262,-0.5600639576631112,0.03763643353701041,-0.22594683338878258,49823,8104
broad_no_medicaid,subsidized_private,state_fips,-0.0053755884994044975,0.012435547345296288,-0.43227598674519135,0.024260993279108568,-0.2215733064826114,49823,47
broad_no_medicaid,subsidized_private,person_id,-0.0053755884994044975,0.012435547345296288,-0.43227598674519135,0.030394023199749202,-0.17686334132458167,49823,8104
broad_no_medicaid,market_or_subsidy,state_fips,0.03280739782621497,0.017875197548831184,1.8353586155673098,0.055496644503431225,0.5911600263361251,49823,47
broad_no_medicaid,market_or_subsidy,person_id,0.03280739782621497,0.017875197548831184,1.8353586155673098,0.042803088814518844,0.7664726713621349,49823,8104
broad_no_medicaid,private,state_fips,-0.0170412506525091,0.022585158306706075,-0.7545331505358165,0.07003950398761614,-0.24330912816747252,49823,47
broad_no_medicaid,private,person_id,-0.0170412506525091,0.022585158306706075,-0.7545331505358165,0.056215137672714945,-0.30314344779734276,49823,8104
broad_no_medicaid,public,state_fips,-0.017935741194077,0.009325886077413779,-1.9232211336481255,0.02664332006543792,-0.673179661919968,49823,47
broad_no_medicaid,public,person_id,-0.017935741194077,0.009325886077413779,-1.9232211336481255,0.02064447548006861,-0.8687913244099236,49823,8104
broad_no_medicaid,medicaid,state_fips,0.0,0.0,,0.0,,49823,47
broad_no_medicaid,medicaid,person_id,0.0,0.0,,0.0,,49823,8104
broad_no_medicaid,oop_any,state_fips,-0.028508882218372833,0.02523381471900166,-1.1297888383441672,0.04471127602730145,-0.6376217534244569,49823,47
broad_no_medicaid,oop_any,person_id,-0.028508882218372833,0.02523381471900166,-1.1297888383441672,0.06224358973304084,-0.45802117680946397,49823,8104
broad_no_medicaid,doctor_any,state_fips,-0.07192313276961022,0.023563098700547583,-3.0523630904257426,0.05483168261593332,-1.3117075628226367,49823,47
broad_no_medicaid,doctor_any,person_id,-0.07192313276961022,0.023563098700547583,-3.0523630904257426,0.057216239415617924,-1.2570405448558344,49823,8104
