model,outcome,threshold,bandwidth,donut,fpl_col,post_col,pre_only,coef,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,min_cell_persons
main_annual_fpl,uninsured,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0204403601032489,0.03093178604443786,-0.6608205576581788,0.04274717144680643,-0.4781687164654719,88000,7672,7647,52,1291
main_annual_fpl,market_or_subsidy,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.001539597015560057,0.03153312743548806,-0.04882474847158234,0.038761053051134406,-0.03972020609267214,88000,7672,7647,52,1291
main_annual_fpl,direct_purchase,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.0020036103749737633,0.031534893462695494,-0.06353629757284429,0.03885799354545039,-0.051562373456834135,88000,7672,7647,52,1291
main_annual_fpl,source_employer_related,4.0,0.25,0.0,annual_fpl,post_year2021,0,-0.005309619560362577,0.04526445247449207,-0.11730219344539103,0.045007883848885266,-0.11797087768422339,88000,7672,7647,52,1291
main_annual_fpl,uninsured,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.04242393630843877,0.02237089177429431,-1.8963900382901493,0.0322627771839601,-1.3149499209736488,165940,14011,13990,52,2483
main_annual_fpl,market_or_subsidy,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.012898897066318082,0.023408783620024482,-0.5510280788483187,0.02663132294104055,-0.48435059327976787,165940,14011,13990,52,2483
main_annual_fpl,direct_purchase,4.0,0.5,0.0,annual_fpl,post_year2021,0,-0.012926949452501724,0.02338846752637461,-0.5527061333934904,0.026646603936109643,-0.4851255898686591,165940,14011,13990,52,2483
main_annual_fpl,source_employer_related,4.0,0.5,0.0,annual_fpl,post_year2021,0,0.024300200450128706,0.032706976816238895,0.7429668778822671,0.03212440925207437,0.7564403833685929,165940,14011,13990,52,2483
main_annual_fpl,uninsured,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.03487762419077556,0.019752061863758625,-1.7657713119443768,0.026379828913280282,-1.3221323119808888,186797,17270,17262,52,3165
main_annual_fpl,market_or_subsidy,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.01964641735575845,0.020907478117325125,-0.9396837459549132,0.024347209026361352,-0.8069268775113717,186797,17270,17262,52,3165
main_annual_fpl,direct_purchase,4.0,0.75,0.0,annual_fpl,post_year2021,0,-0.01890175711236486,0.020876245185555798,-0.9054193866932986,0.02427202015002105,-0.7787467625494892,186797,17270,17262,52,3165
main_annual_fpl,source_employer_related,4.0,0.75,0.0,annual_fpl,post_year2021,0,0.027476896657613104,0.02866746884283003,0.958469574284906,0.029962364781428816,0.917046997393335,186797,17270,17262,52,3165
main_post_apr2021,uninsured,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,-0.03176463354211223,0.014621168169039161,-2.1725099646535058,0.01660405525551903,-1.9130647937077883,215972,23888,23858,52,5300
lag_nonemployer_post_apr2021,uninsured,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,-0.056650263157393965,0.03414923119224064,-1.65890303176916,0.047318119824131796,-1.1972213470853688,71638,9878,9863,52,1976
main_post_apr2021,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,0.025574696216975834,0.01418383270788582,1.8030878355437039,0.01737752358070017,1.4717112077683847,215972,23888,23858,52,5300
lag_nonemployer_post_apr2021,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,0.08107502350499107,0.033682066171909573,2.407067995508145,0.03789781988754128,2.1393057369942294,71638,9878,9863,52,1976
main_post_apr2021,direct_purchase,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,0.026295971103132643,0.01414332675714307,1.8592493516316375,0.017090031096101865,1.538673098677427,215972,23888,23858,52,5300
lag_nonemployer_post_apr2021,direct_purchase,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,0.08075718388898423,0.03362645918304656,2.4015964169578563,0.0362257938086461,2.2292729957986377,71638,9878,9863,52,1976
main_post_apr2021,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,0.02910732446126385,0.019582063826739864,1.4864278208263713,0.026441891321237657,1.100803422404409,215972,23888,23858,52,5300
lag_nonemployer_post_apr2021,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_apr2021,0,-0.011783636851745521,0.005942262640055018,-1.9830218833337228,0.0068258313687906014,-1.7263299098807567,71638,9878,9863,52,1976
placebo_thresholds,uninsured,3.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0016950712629997255,0.015189898686314108,-0.11159200584576391,0.015104868305447555,-0.1122201947559119,247214,25934,25906,52,6244
placebo_thresholds,market_or_subsidy,3.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.047058519482404026,0.01617487950081109,-2.909358272501769,0.020807253190317385,-2.2616401623017985,247214,25934,25906,52,6244
placebo_thresholds,uninsured,3.5,0.5,0.0,monthly_fpl,post_year2021,0,-0.02547920177997831,0.014952867214913713,-1.703967634686532,0.014667823673143706,-1.7370812703884542,234957,25371,25336,52,6190
placebo_thresholds,market_or_subsidy,3.5,0.5,0.0,monthly_fpl,post_year2021,0,0.01810372214706213,0.01413520862059858,1.2807537994650053,0.013759632859160821,1.3157125871283055,234957,25371,25336,52,6190
placebo_thresholds,uninsured,4.5,0.5,0.0,monthly_fpl,post_year2021,0,0.0024750613639211716,0.01326635141456873,0.18656684770185794,0.012513073450239158,0.19779803689027867,193558,22163,22126,52,5364
placebo_thresholds,market_or_subsidy,4.5,0.5,0.0,monthly_fpl,post_year2021,0,-0.010308953865145853,0.014111269043978927,-0.7305476093622163,0.01790779049410723,-0.5756686660220944,193558,22163,22126,52,5364
placebo_thresholds,uninsured,5.0,0.5,0.0,monthly_fpl,post_year2021,0,0.005796320466905924,0.012234776532225483,0.4737577716796748,0.012288943619599108,0.47166954673480815,173160,20398,20372,52,4913
placebo_thresholds,market_or_subsidy,5.0,0.5,0.0,monthly_fpl,post_year2021,0,0.006907182547349566,0.012965703657206742,0.5327271646772783,0.012768295347115035,0.540963563230093,173160,20398,20372,52,4913
pre_arpa_fake_policy,uninsured,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,-0.013770974515268496,0.01830713156551107,-0.7522191265185273,0.02532045394858059,-0.5438675998160952,144245,15898,15885,52,5395
pre_arpa_fake_policy,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,0.00020393150808588928,0.016447918958948385,0.012398620676261397,0.015514505790748846,0.013144570045375968,144245,15898,15885,52,5395
pre_arpa_fake_policy,source_employer_related,4.0,0.5,0.0,monthly_fpl,fake_post_2019,1,0.03201977273256247,0.023725494792194098,1.349593465300343,0.026373518418293156,1.2140880190772336,144245,15898,15885,52,5395
pre_arpa_fake_policy,uninsured,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.012821705363482486,0.021375463472040376,0.5998328588408662,0.028410680244532156,0.4512987810613974,144245,15898,15885,52,3147
pre_arpa_fake_policy,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.0011440235907038906,0.01857606314921682,0.06158590124905575,0.016028134492928947,0.07137596650493505,144245,15898,15885,52,3147
pre_arpa_fake_policy,source_employer_related,4.0,0.5,0.0,monthly_fpl,fake_post_2020,1,0.0004207679778320398,0.02770671899605451,0.015186496022569758,0.033506677311520405,0.012557735102172294,144245,15898,15885,52,3147
lag_current_employer_bw050,uninsured,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.001074684147690616,0.0020550758229262054,-0.5229413609471509,0.0019216330720504336,-0.559255647356183,126551,14453,14432,52,3434
lag_current_employer_bw050,market_or_subsidy,4.0,0.5,0.0,monthly_fpl,post_year2021,0,0.013560936867142576,0.006384783530862047,2.1239462233282067,0.007795627636979269,1.7395567744686826,126551,14453,14432,52,3434
lag_current_employer_bw050,source_employer_related,4.0,0.5,0.0,monthly_fpl,post_year2021,0,-0.0006734091330322656,0.002853750017319278,-0.23597341355948365,0.0025713387283147426,-0.26189047970106155,126551,14453,14432,52,3434
