reference_year,state,rating_areas_age40,rating_areas_age60,slcsp_state_mean_age40,slcsp_state_mean_age60,slcsp_state_median_age40,slcsp_state_median_age60,fpl_single,gross_burden_age60_at400fpl,gross_burden_age40_at400fpl,gross_burden_excess_age60_over_8p5,pre_2021_age60_excess_burden,high_pre_premium_burden
2018,NV,4,4,560.865,1191.0725,591.545,1256.23,12140,0.2943342257001647,0.13859925864909392,0.2093342257001647,0.19821435064031453,1
2018,OH,17,17,377.89941176470586,802.52,375.01,796.38,12140,0.1983163097199341,0.09338535710824693,0.1133163097199341,0.1111336829210811,0
2018,OK,5,5,653.696,1388.2060000000001,649.42,1379.13,12140,0.3430492586490939,0.16153937397034598,0.2580492586490939,0.23841625260318358,1
2018,OR,7,7,407.2857142857143,864.8571428571429,381.0,809.0,12140,0.21372087550011767,0.10064721110849612,0.12872087550011768,0.13668937478984075,0
2018,PA,9,9,488.23333333333335,1036.8233333333333,450.78,957.28,12140,0.25621663920922566,0.1206507413509061,0.17121663920922564,0.15060255563010158,0
2018,SC,46,46,521.2091304347825,1106.858043478261,513.51,1090.52,12140,0.27352340448391954,0.12879962037103357,0.18852340448391952,0.18476105163007142,1
2018,SD,4,4,497.63,1056.785,482.08,1023.7650000000001,12140,0.26114950576606266,0.12297281713344316,0.17614950576606264,0.18652694154853924,1
2018,TN,8,8,767.40875,1629.69125,817.325,1735.685,12140,0.4027243616144976,0.1896397240527183,0.3177243616144976,0.23893967106594438,1
2018,TX,26,26,483.32846153846157,1026.4107692307693,478.04999999999995,1015.21,12140,0.2536435179318211,0.11943866430110252,0.16864351793182109,0.16144879916698981,0
2018,UT,6,6,595.505,1207.9016666666666,600.175,1217.3600000000001,12140,0.29849299835255355,0.14715939044481052,0.21349299835255353,0.19236762729021772,1
2018,VA,12,12,575.3591666666667,1221.8475,567.765,1205.72,12140,0.30193925041186165,0.14218101317957169,0.21693925041186163,0.205593148274815,1
2018,WI,16,16,523.1525,1110.980625,541.47,1149.89,12140,0.27454216433278417,0.12927985996705108,0.18954216433278415,0.18010641330391422,0
2018,WV,11,11,532.6645454545454,1131.1863636363637,531.75,1129.25,12140,0.2795353452149169,0.13163044780590083,0.1945353452149169,0.20973733067750447,1
2018,WY,3,3,848.0533333333333,1800.9466666666667,873.88,1855.8,12140,0.4450444810543657,0.20956836902800657,0.3600444810543657,0.35125787223799687,1
2019,AK,3,3,714.0,1516.0,714.0,1516.0,15600,0.2915384615384615,0.1373076923076923,0.2065384615384615,0.21000617989373607,1
2019,AL,13,13,548.5969230769231,1165.0161538461539,531.49,1128.69,12490,0.2798277391143684,0.13176867647964524,0.1948277391143684,0.19854898533309476,1
2019,AR,7,7,380.09000000000003,807.16,380.67,808.39,12490,0.19387349879903923,0.09129463570856686,0.10887349879903922,0.1037833145817777,0
2019,AZ,7,7,571.3842857142857,1213.4042857142856,569.15,1208.65,12490,0.29145018872240647,0.1372420221891799,0.20645018872240645,0.20474757727743675,1
2019,DE,1,1,684.6,1453.84,684.6,1453.84,12490,0.34920096076861484,0.16443554843875102,0.2642009607686148,0.22592096885432614,1
2019,FL,67,67,573.156119402985,1217.171343283582,501.04,1064.02,12490,0.2923550063931742,0.13766760273890755,0.20735500639317417,0.20837611750284935,1
2019,GA,16,16,490.31,1041.2375,442.46,939.62,12490,0.2500970776621297,0.11776861489191354,0.16509707766212967,0.1758417431723521,0
2019,HI,1,1,502.71,1067.58,502.71,1067.58,14380,0.22272183588317104,0.1048769123783032,0.13772183588317105,0.12671822023069465,0
