model,outcome,term,coef,se,t,n_person_years,n_persons,n_states,weighted_mean
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,any_coverage,ea_end_treat,-0.023282262616297178,0.02492534092010606,-0.9340800068061058,31702,21116,50,0.8281064418511547
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,uninsured,ea_end_treat,0.023282262616946492,0.024925340920108,0.9340800068320835,31702,21116,50,0.1718935581488453
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,public,ea_end_treat,-0.07368133059849802,0.03153113013135909,-2.336780517905342,31702,21116,50,0.41566166588163606
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,private,ea_end_treat,0.011357863965935633,0.03234783595054918,0.3511166553242894,31702,21116,50,0.495291626326846
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,employed_share,ea_end_treat,0.0531732151308284,0.03218593698555134,1.6520636063725131,31702,21116,50,0.5838137323938845
snap_ea_early_end_lag_snap_2018_2023_including_federal_cliff,log_earnings,ea_end_treat,0.579693461449514,0.3332360647402426,1.7395880061822986,31702,21116,50,6.067425701383024
snap_ea_early_end_current_snap_2018_2022,food_insecure,ea_end_treat,0.1262678599005348,0.030540867918457535,4.13439003232204,56227,39158,51,0.20270548681634523
snap_ea_early_end_current_snap_2018_2022,very_low_food,ea_end_treat,0.08135944176343024,0.0263721108784378,3.0850561086466097,56227,39158,51,0.08701508280474436
snap_ea_early_end_current_snap_2018_2022,food_score,ea_end_treat,0.513062803973928,0.14499805208352465,3.538411700030173,56227,39158,51,0.8723417729819347
snap_ea_early_end_current_snap_2018_2022,snap_any,ea_end_treat,2.877698079828406e-13,2.447463895715342e-14,11.757877551804764,56227,39158,51,0.20145074867305163
snap_ea_early_end_current_snap_2018_2022,snap_share,ea_end_treat,-0.02557864966476764,0.015589603553648123,-1.6407504896929839,56227,39158,51,0.175082662487044
snap_ea_early_end_current_snap_2018_2022,doctor_any,ea_end_treat,0.023546007980014272,0.027758951571840343,0.8482311703695672,56227,39158,51,0.6744426706855386
snap_ea_early_end_current_snap_2018_2022,doctor_visits,ea_end_treat,-0.6847986464754996,0.9212026687903053,-0.743374579423175,55296,38711,51,4.9254541472400675
snap_ea_early_end_current_snap_2018_2022,dental_any,ea_end_treat,-0.003945070468672984,0.03226645652565387,-0.12226537691042723,56227,39158,51,0.5425351104884495
snap_ea_early_end_current_snap_2018_2022,oop_any,ea_end_treat,-0.009493759886631259,0.030663974722885616,-0.30960630421945035,56227,39158,51,0.4535213177233363
snap_ea_early_end_current_snap_2018_2022,sick_days,ea_end_treat,-1.6813359831677346,3.3232491899743524,-0.5059313602603212,55296,38711,51,9.474901887342877
snap_ea_early_end_current_snap_2018_2022,any_coverage,ea_end_treat,-0.02227127426268627,0.02331855321330959,-0.9550881677330837,56227,39158,51,0.7916017866719212
snap_ea_early_end_current_snap_2018_2022,uninsured,ea_end_treat,0.022271274261889795,0.023318553213307055,0.9550881676990314,56227,39158,51,0.20839821332807898
snap_ea_early_end_current_snap_2018_2022,public,ea_end_treat,-0.000825930657568863,0.027681151952200115,-0.02983729358500261,56227,39158,51,0.3831623978306575
snap_ea_early_end_current_snap_2018_2022,private,ea_end_treat,-0.021510643490780634,0.02733446192838489,-0.786942268962074,56227,39158,51,0.4767800397334761
snap_ea_early_end_current_snap_2018_2022,employed_share,ea_end_treat,0.010007571866050946,0.02677590051202304,0.3737529522697957,56227,39158,51,0.568829272349412
snap_ea_early_end_current_snap_2018_2022,log_earnings,ea_end_treat,-0.1431188785820794,0.2721878131557787,-0.5258092819172969,56227,39158,51,5.933870903150307
