download_priority_order,country,wave,idno,source_relative_path,source_file_name,source_suffix,source_bytes,target_relative_path,target_exists_before,target_bytes_before,file_staging_action,copy_error,data_write_gate_status,modeling_gate_status
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11l1_plantingw2.dta,sect11l1_plantingw2.dta,.dta,1310945,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11l1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect11l2_plantingw2.dta,sect11l2_plantingw2.dta,.dta,2649655,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect11l2_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/sect12_plantingw2.dta,sect12_plantingw2.dta,.dta,247767,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/sect12_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Agriculture/secta_plantingw2.dta,secta_plantingw2.dta,.dta,67416,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Agriculture/secta_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc1_plantingw2.dta,sectc1_plantingw2.dta,.dta,131086,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc1_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc2_plantingw2.dta,sectc2_plantingw2.dta,.dta,424738,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc2_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc3a_plantingw2.dta,sectc3a_plantingw2.dta,.dta,18964,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc3a_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc3b_plantingw2.dta,sectc3b_plantingw2.dta,.dta,97278,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc3b_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc3c_plantingw2.dta,sectc3c_plantingw2.dta,.dta,55198,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc3c_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,DATA/Post Planting Wave 2/Community/sectc4a_plantingw2.dta,sectc4a_plantingw2.dta,.dta,68691,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/DATA/Post Planting Wave 2/Community/sectc4a_plantingw2.dta,0,0,copied,,blocked_no_data_write,blocked
