download_priority_order,queue_role,country,wave,idno,survey_name,requirement,requirement_role,candidate_rank,file_name,variable_name,variable_label,match_score,checklist_ref,raw_package_status,archive_preflight_status,current_verification_status,fill_raw_file_used,fill_raw_variable_used,fill_variable_label_verified,fill_value_distribution_checked,fill_missing_codes_documented,fill_unit_recall_period_documented,fill_merge_key_or_level_verified,fill_skip_pattern_checked,fill_promote_variable,review_notes
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,4,cons_agg_w5.dta,food_cons2,Food consumption,36,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,5,cons_agg_w5.dta,food_cons_ann,annual value of food consumption (selected items),36,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,6,cons_agg_w5.dta,nom_foodcons_aeq,Nominal annual expenditure on food per adult equivalent,29,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,7,cons_agg_w5.dta,fafh_cons_ann,annual expenditure on food away from home,25,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,8,cons_agg_w5.dta,spat_totcons_aeq,"Annual consumption per AEQ, spatially adjusted (food prices only)",25,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,9,cons_agg_w5.dta,educ_cons_ann,annual expenditure on education (including assistance),21,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,10,cons_agg_w5.dta,nom_educcons_aeq,Nominal annual expenditure on education per adult equivalent,21,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,11,cons_agg_w5.dta,nom_totcons_aeq,Nominal annual consumption per adult equivalent,21,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,consumption_or_income,financial_denominator_gate,12,cons_agg_w5.dta,total_cons_ann,Total annual consumption,21,consumption_or_income,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,1,sect8_3_ls_w5.dta,ls_s8_3q04,4.Total amount spent for breeding [LIVESTOCK TYPE] in the past 12 months,16,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,2,sect8_3_ls_w5.dta,ls_s8_3q22,"22.Total amount spent on vaccines, anthelmingics and etc for [LIVESTOCK TYPE]",16,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,3,sect8_3_ls_w5.dta,ls_s8_3q24,24.Total amount spent on curative treatments for [LIVESTOCK TYPE],16,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,4,sect3_hh_w5.dta,s3q17,17. How many nights did [NAME] spend in any health facility in last 12 months?,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,5,sect3_hh_w5.dta,s3q18,18. What were the total cost of [NAME]'s health consultations in last 12 months?,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,6,sect8_3_ls_w5.dta,ls_s8_3q03,3.Any cost incurred related to breeding [LIVESTOCK TYPE]?,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,7,sect8_3_ls_w5.dta,ls_s8_3q05,5.Has this holder paid anyone outside HH to help look after [LIVESTOCK TYPE]?,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,8,sect8_3_ls_w5.dta,ls_s8_3q06,6.Total wages paid for those looking after [LIVESTOCK TYPE],12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,9,sect8_3_ls_w5.dta,ls_s8_3q10a,"10a.During dry season, has water been paid for [LIVESTOCK TYPE]?",12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,10,sect8_3_ls_w5.dta,ls_s8_3q10b,"10b.During rainy season, has water been paid for [LIVESTOCK TYPE]?",12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,11,sect8_3_ls_w5.dta,ls_s8_3q11,11.How much has been paid for the water for [LIVESTOCK TYPE]?,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,oop_health_expenditure,financial_outcome_gate,12,sect8_3_ls_w5.dta,ls_s8_3q12_1,12.This holder's major feeding practices for [LIVESTOCK TYPE]: FEED 1,12,oop_health_expenditure,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,1,sect04_com_w5.dta,cs4q37,37. Distance to the nearest hospital/health facility with a medical doctor,29,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,2,sect3_hh_w5.dta,s3q14,14. [NAME] consulted a healthcare provider in the last 12 months,21,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,3,sect3_hh_w5.dta,s3q15,15. Number of times [NAME] consulted a healthcare provider in the last 12 months,21,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,4,sect3_hh_w5.dta,s3q05,"5. During the last 4 weeks, did [NAME] suffer from any illness or injury?",17,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,5,sect3_hh_w5.dta,s3q17,17. How many nights did [NAME] spend in any health facility in last 12 months?,17,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,6,sect04_com_w5.dta,cs4q34,34. Is there a hospital/health center/clinic in this community?,14,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,health_need_and_access,access_outcome_gate,7,sect04_com_w5.dta,cs4q35,35. Does the community hospital/health center have a doctor or health officer?,14,health_need_and_access,blocked_no_original_package,blocked_no_original_archive_or_direct_files,blocked_no_original_package,,,,,,,,,,
